user_id,sign_up_date,gender,marital_status,children_status,home_country,home_city,home_airport,destination,destination_airport,page_clicks,base_fare_usd,home_airport_lat,home_airport_lon,destination_airport_lat,destination_airport_lon,check_in_time,check_out_time,age,avg_session_length,num_sessions,total_flights_booked,total_hotels_booked,total_return_flights_booked,total_checked_bags,cancellations,total_flight_discounts,total_hotel_discounts,total_rooms_booked,Avg_checked_bags,Avg_flight_discount_amount,Avg_base_fare,Avg_hotel_discount_amount,Avg_page_clicks,cancellations_ratio,Avg_flights_booked,Avg_hotels_booked,length_of_stay,flight_distance_km,dollars_saved,ADS,scaled_ADS,discount_flight_proportion,scaled_distance,ADS_per_km,bargain_hunter_index,Clusters,Perks,free_checked_bags_index,free_checked_bags,free_hotel_meals_index,free_hotel_meals,no_cancellation_fee_index,no_cancellation_fee,one_night_free_hotel_index,one_night_free_hotel,Exclusive_Discount,min_rank,preferred_perk
160754,26/04/2022,F,Married,Has children,usa,new york,LGA,ottawa,YOW,86,93.62,40.777,-73.872,45.323,-75.669,08/07/2023 16:39,11/07/2023 11:00,46,1.3,8,1,1,1,1,0,0,0,1,1,0,93.62,0,86,0,1,1,2,526.1200404,0,0,0,0,0.032178585,0,1.3,1,['One night free hotel with flight'],527.1200404,2197,4,1900,86,2058,3,1565,2318,1565,One Night Free Hotel
164522,30/04/2022,F,Married,Has no children,usa,kansas city,MCI,new york,JFK,89,328.32,39.297,-94.714,40.64,-73.779,17/02/2023 19:13,03/03/2023 11:00,48,1.4,8,1,1,1,1,0,2,1,1,1,0.333333333,328.32,1,89,0,1,1,13,1786.073162,656.64,656.64,0.028298365,0,0.111312006,0.001733801,658.3733333,1,['One night free hotel with flight'],1787.073162,1290,15,178,89,1972,14,94,1020,94,One Night Free Hotel
174997,10/05/2022,F,Unmarried,Has no children,usa,grand rapids,GRR,warsaw,WAW,252,2636.06,42.881,-85.523,52.166,20.967,14/03/2023 11:16,16/03/2023 11:00,32,16.5,8,3,3,3,1,1,1,3,2,1,0.166666667,2636.06,3,252,1,3,3,1,7317.091586,2636.06,2636.06,0.113602869,0,0.458696687,0.001689054,2653.06,2,['No cancellation fee'],7318.091586,39,6,404,253,339,4,384,98,39,Free Checked Bags
175032,10/05/2022,F,Unmarried,Has no children,usa,houston,IAH,memphis,MEM,127,957.59,29.98,-95.34,36.08,-89.977,31/07/2023 11:00,08/08/2023 11:00,29,1.7,9,2,3,2,1,0,1,2,6,1,0.166666667,957.59,2,127,0,2,3,8,842.2868991,957.59,957.59,0.041268018,0,0.052035963,0.005408662,959.6233333,1,['One night free hotel with flight'],843.2868991,1894,17,113,127,770,10,246,688,113,Free Hotel Meals
181157,15/05/2022,F,Married,Has no children,usa,houston,HOU,oklahoma city,OKC,153,536.03,29.645,-95.279,35.393,-97.601,03/04/2023 15:47,06/04/2023 11:00,54,2.4,8,3,3,3,3,0,2,1,6,3,0.333333333,536.03,1,153,0,3,3,2,675.1441151,1072.06,1072.06,0.046201183,0,0.041538286,0.007585503,1074.793333,0,['Free checked bags'],678.1441151,1721,11,848,153,812,5,1286,706,706,Exclusive Discount
187212,21/05/2022,F,Married,Has children,usa,los angeles,LAX,winnipeg,YAV,128,722.46,33.942,-118.408,50.056,-73.779,11/03/2023 18:07,16/03/2023 11:00,55,2,8,3,3,3,2,0,1,1,3,2,0.166666667,722.46,1,128,0,3,3,4,4023.356887,722.46,722.46,0.031134924,0,0.251828279,0.000843186,724.6266667,0,['Free checked bags'],4025.356887,111,10,1078,128,1466,7,660,1013,111,Free Checked Bags
189676,23/05/2022,F,Unmarried,Has children,usa,fort worth,FTW,san jose,SJC,93,1244.31,32.82,-97.362,37.362,-121.929,08/05/2023 12:51,14/05/2023 11:00,36,1.4,8,1,2,1,2,0,1,0,4,2,0.166666667,1244.31,0,93,0,1,2,5,2284.54832,1244.31,1244.31,0.053624419,0,0.142619556,0.002564268,1245.71,1,['One night free hotel with flight'],2286.54832,933,11,397,93,1851,6,647,502,397,Free Hotel Meals
190866,24/05/2022,F,Unmarried,Has no children,usa,tallahassee,TLH,toronto,YZD,186,727.28,30.396,-84.35,45.589,-79.37,12/07/2023 18:37,14/07/2023 11:00,37,2.6,9,5,5,5,2,0,0,1,5,2,0,727.28,1,186,0,5,5,1,1743.918885,0,0,0,0,0.108664438,0,2.6,0,['Free checked bags'],1745.918885,1043,11,849,186,265,6,934,1689,265,No Cancellation Fee
195192,28/05/2022,F,Unmarried,Has no children,usa,chicago,MDW,new york,LGA,225,394.29,41.786,-87.752,40.64,-73.779,01/05/2023 10:28,02/05/2023 11:00,28,3.5,8,1,1,1,0,0,1,1,2,0,0.166666667,394.29,1,225,0,1,1,1,1174.423089,394.29,394.29,0.016992206,0,0.072896321,0.001589732,397.9566667,1,['One night free hotel with flight'],1174.423089,1664,4,1901,225,22,2,1995,1449,22,No Cancellation Fee
204943,06/06/2022,M,Unmarried,Has no children,canada,ottawa,YOW,vancouver,YVR,292,1394.39,45.323,-75.669,49.195,-73.779,30/12/2023 12:18,17/01/2024 11:00,41,17.4,8,7,7,7,9,1,3,1,10,9,0.5,1394.39,1,292,1,7,7,17,453.5176849,4183.17,4183.17,0.180276667,0,0.027618675,0.044516039,4201.07,2,['No cancellation fee'],462.5176849,409,34,1,293,273,24,5,48,1,Free Hotel Meals
204997,06/06/2022,F,Married,Has no children,usa,kansas city,MCI,new york,JFK,439,3500.64,39.297,-94.714,40.64,30.792,19/07/2023 18:56,24/07/2023 11:00,39,23.3,8,5,4,5,3,2,3,4,6,3,0.5,3500.64,4,439,2,5,4,4,9551.998178,10501.92,10501.92,0.452587664,0,0.59906366,0.0051524,10527.22,3,['Free hotel meals'],9554.998178,79,14,56,441,4,9,68,52,4,No Cancellation Fee
205044,06/06/2022,F,Married,Has children,canada,toronto,YKZ,philadelphia,PHL,134,1971.19,43.862,-79.37,39.872,-75.241,11/05/2023 09:41,15/05/2023 11:00,41,1.8,9,3,3,3,1,0,1,0,6,1,0.166666667,1971.19,0,134,0,3,3,4,559.962772,1971.19,1971.19,0.084949826,0,0.034304133,0.016888687,1972.99,0,['Free checked bags'],560.962772,1820,13,540,134,1305,7,661,256,256,Exclusive Discount
206011,07/06/2022,F,Unmarried,Has children,usa,kansas city,MCI,san jose,SJI,156,436.36,39.297,-94.714,41.786,-86.294,09/05/2023 12:58,10/05/2023 11:00,40,2.4,8,4,3,4,1,0,1,2,3,1,0.166666667,436.36,2,156,0,4,3,0,763.0126062,436.36,436.36,0.018805243,0,0.047057011,0.002725426,439.0933333,0,['Free checked bags'],764.0126062,1647,6,1963,156,765,4,1661,1422,765,No Cancellation Fee
216796,16/06/2022,F,Unmarried,Has no children,usa,cincinnati,CVG,barcelona,BCN,125,2500.87,39.046,-84.662,41.297,2.078,22/09/2023 17:48,03/10/2023 11:00,23,8.2,8,2,2,2,4,1,4,2,2,4,0.666666667,2500.87,2,125,1,2,2,10,7041.479114,10003.48,10003.48,0.43110704,0,0.441386394,0.006661101,10013.01333,3,['Free hotel meals'],7045.479114,110,14,57,126,97,12,48,58,48,One Night Free Hotel
217136,17/06/2022,F,Unmarried,Has children,usa,little rock,LIT,seattle,BFI,106,539.57,34.729,-92.224,47.53,-122.302,30/03/2023 11:00,02/04/2023 11:00,39,1.7,8,1,2,1,0,0,2,0,2,0,0.333333333,539.57,0,106,0,1,2,3,2867.316407,1079.14,1079.14,0.046506301,0,0.179221261,0.00176971,1080.84,1,['One night free hotel with flight'],2867.316407,637,7,1022,106,1407,4,1151,613,613,Exclusive Discount
220725,20/06/2022,F,Unmarried,Has no children,usa,stockton,SCK,san antonio,UGN,316,719.21,37.894,-121.239,41.786,-73.779,12/06/2023 14:54,17/06/2023 11:00,41,15.8,9,5,4,5,1,1,2,2,4,1,0.333333333,719.21,2,316,1,5,4,4,4023.669146,1438.42,1438.42,0.061989726,0,0.251847891,0.001678654,1454.886667,2,['No cancellation fee'],4024.669146,77,12,202,317,223,9,132,209,77,Free Checked Bags
224996,23/06/2022,F,Unmarried,Has children,canada,halifax,YHZ,new york,YYC,102,728.23,44.881,-63.509,51.114,-73.779,20/05/2023 18:12,21/05/2023 11:00,43,1.6,8,2,1,2,0,0,0,1,1,0,0,728.23,1,102,0,2,1,0,1029.91954,0,0,0,0,0.063820538,0,1.6,1,['One night free hotel with flight'],1029.91954,1788,2,2302,102,1552,2,1996,2174,1552,No Cancellation Fee
226367,25/06/2022,F,Unmarried,Has no children,usa,washington,IAD,new york,ORD,114,621.31,38.944,-77.456,41.786,-73.779,05/07/2023 17:09,07/07/2023 11:00,43,1.8,8,3,3,3,2,0,1,0,4,2,0.166666667,621.31,0,114,0,3,3,1,443.6646226,621.31,621.31,0.026775794,0,0.026999837,0.006763337,623.11,0,['Free checked bags'],445.6646226,1928,8,1561,114,1798,4,1662,1168,1168,Exclusive Discount
228872,27/06/2022,M,Unmarried,Has no children,usa,san antonio,RND,portland,PDX,126,509.21,29.529,-98.279,45.589,-122.597,23/07/2023 11:00,31/07/2023 11:00,35,2,8,1,2,1,1,0,1,0,2,1,0.166666667,509.21,0,126,0,1,2,8,2770.218959,509.21,509.21,0.021944765,0,0.173122897,0.000864483,511.21,1,['One night free hotel with flight'],2771.218959,689,12,317,126,799,9,301,1256,301,One Night Free Hotel
229009,27/06/2022,F,Unmarried,Has no children,usa,stockton,SCK,taipei,YED,144,1723.63,37.894,-121.239,53.667,121.552,27/05/2023 14:18,29/05/2023 11:00,18,4.4,8,4,3,4,1,1,1,1,2,1,0.166666667,1723.63,1,144,1,4,3,1,8192.779869,1723.63,1723.63,0.074281053,0,0.513695726,0.00098617,1728.196667,2,['No cancellation fee'],8193.779869,31,6,405,145,436,5,327,174,31,Free Checked Bags
229330,27/06/2022,F,Married,Has no children,usa,colorado springs,COS,san antonio,RND,129,505.51,38.806,-104.7,33.942,-97.362,30/07/2023 10:40,31/07/2023 11:00,47,2,8,4,4,4,1,0,0,1,7,1,0,505.51,1,129,0,4,4,1,850.4371462,0,0,0,0,0.052547852,0,2,0,['Free checked bags'],851.4371462,1572,12,665,129,1440,5,1287,1905,665,Free Hotel Meals
232647,30/06/2022,F,Unmarried,Has no children,usa,birmingham,BHM,new york,LGA,100,237.1,33.563,-86.753,40.64,-73.779,26/01/2023 11:00,06/02/2023 11:00,18,1.6,8,1,1,1,1,0,1,0,1,1,0.166666667,237.1,0,100,0,1,1,11,1391.584117,237.1,237.1,0.010217992,0,0.086535475,0.000805288,238.7,1,['One night free hotel with flight'],1392.584117,1501,13,259,100,1620,12,158,1678,158,One Night Free Hotel
249521,15/07/2022,F,Married,Has children,canada,ottawa,YOW,vancouver,YVR,151,642.02,45.323,-75.669,49.195,-123.182,11/07/2023 11:00,13/07/2023 11:00,60,2.3,8,1,2,1,1,0,1,3,2,1,0.166666667,642.02,3,151,0,1,2,2,3551.799941,642.02,642.02,0.027668306,0,0.222211372,0.000849173,644.82,1,['One night free hotel with flight'],3552.799941,362,6,1270,151,352,3,1566,1043,352,No Cancellation Fee
252835,18/07/2022,F,Unmarried,Has children,usa,chicago,ORD,phoenix,YED,117,444.21,41.979,-87.904,53.667,-73.779,19/07/2023 13:29,23/07/2023 11:00,38,1.8,8,5,4,5,3,0,1,1,4,3,0.166666667,444.21,1,117,0,5,4,3,1667.358734,444.21,444.21,0.019143544,0,0.103855952,0.001257103,446.1766667,0,['Free checked bags'],1670.358734,1065,11,850,117,1731,8,484,1414,484,One Night Free Hotel
264470,27/07/2022,F,Unmarried,Has children,usa,bakersfield,BFL,phoenix,PHX,118,756.05,35.433,-119.057,40.64,-73.779,04/04/2023 09:48,10/04/2023 11:00,45,1.9,8,2,2,2,1,0,1,1,2,1,0.166666667,756.05,1,118,0,2,2,6,3963.392526,756.05,756.05,0.032582509,0,0.248062119,0.000895785,758.1166667,1,['One night free hotel with flight'],3964.392526,180,10,506,118,1036,8,398,853,180,Free Checked Bags
276512,06/08/2022,F,Married,Has children,usa,austin,AUS,philadelphia,PNE,98,395.69,30.194,-97.67,39.872,-75.241,03/02/2023 20:52,05/02/2023 11:00,42,1.5,8,1,1,1,1,0,2,2,1,1,0.333333333,395.69,2,98,0,1,1,1,2299.14827,791.38,791.38,0.03410508,0,0.14353653,0.001620453,793.5466667,1,['One night free hotel with flight'],2300.14827,913,3,2126,98,1690,2,1997,805,805,Exclusive Discount
281952,11/08/2022,F,Unmarried,Has no children,usa,louisville,LOU,new york,YYC,158,484.87,38.228,-85.664,51.114,-73.779,19/07/2023 12:17,21/07/2023 11:00,37,2.4,8,2,2,2,3,0,0,1,2,3,0,484.87,1,158,0,2,2,1,1708.832535,0,0,0,0,0.106460782,0,2.4,1,['One night free hotel with flight'],1711.832535,1329,5,1565,158,257,3,1567,1934,257,No Cancellation Fee
283325,12/08/2022,F,Married,Has no children,usa,dallas,DAL,quebec,YQB,114,453.27,32.847,-96.852,46.788,-71.398,05/07/2023 11:00,07/07/2023 11:00,51,1.8,8,1,2,1,0,0,2,1,3,0,0.333333333,453.27,1,114,0,1,2,2,2650.425613,906.54,906.54,0.039067982,0,0.165599079,0.001608951,908.6733333,1,['One night free hotel with flight'],2650.425613,730,7,1023,114,1154,3,1568,727,727,Exclusive Discount
290123,18/08/2022,F,Married,Has no children,usa,houston,HOU,vancouver,YVR,190,1836.21,29.645,-95.279,49.195,-73.417,19/07/2023 13:46,20/07/2023 11:00,41,2.6,9,7,6,6,6,0,0,0,10,6,0,1836.21,0,190,0,7,6,0,2851.418005,0,0,0,0,0.178222736,0,2.6,0,['Free checked bags'],2857.418005,571,16,253,190,232,7,662,1690,232,No Cancellation Fee
297546,24/08/2022,F,Married,Has no children,usa,new york,JFK,toronto,YZD,207,759.33,40.64,-73.779,43.862,-79.37,14/07/2023 18:32,19/07/2023 11:00,51,3.2,8,4,5,4,3,0,0,1,7,3,0,759.33,1,207,0,4,5,4,582.9688256,0,0,0,0,0.035749066,0,3.2,0,['Free checked bags'],585.9688256,1766,16,254,207,108,8,485,1612,108,No Cancellation Fee
299476,25/08/2022,F,Married,Has no children,usa,atlanta,ATL,houston,HOU,187,192.38,33.64,-84.427,29.607,-95.159,23/01/2023 18:23,25/01/2023 11:00,39,2.6,9,1,1,1,0,0,2,2,1,0,0.333333333,192.38,2,187,0,1,1,1,1109.917473,384.76,384.76,0.016581504,0,0.06884494,0.0016426,388.0266667,1,['One night free hotel with flight'],1109.917473,1714,3,2127,187,88,2,1998,1458,88,No Cancellation Fee
306819,01/09/2022,F,Married,Has children,usa,new york,JFK,hamilton,YHM,329,110,40.64,-73.779,43.173,-76.668,11/04/2023 18:22,13/04/2023 11:00,60,17.7,8,3,3,3,1,1,2,2,3,1,0.333333333,110,2,329,1,3,3,1,369.3947892,220,220,0.009481055,0,0.022335198,0.002894988,238.3666667,2,['No cancellation fee'],370.3947892,421,7,372,330,201,4,385,436,201,No Cancellation Fee
312488,05/09/2022,M,Married,Has no children,usa,new york,JFK,fort worth,FTW,76,407.1,40.64,-73.779,32.82,-97.362,16/07/2023 11:49,16/07/2023 11:00,31,1.2,8,1,1,1,1,0,1,1,1,1,0.166666667,407.1,1,76,0,1,1,-1,2265.463532,407.1,407.1,0.017544262,0,0.141420905,0.00084606,408.4666667,1,['One night free hotel with flight'],2266.463532,946,1,2388,76,2248,0,2383,1429,946,Free Checked Bags
313724,06/09/2022,F,Unmarried,Has no children,usa,tulsa,TUL,ottawa,YOW,351,578,36.198,-95.888,45.323,-75.669,04/07/2023 11:34,06/07/2023 11:00,52,18.5,8,5,6,5,4,1,1,1,8,4,0.166666667,578,1,351,1,5,6,1,1974.021225,578,578,0.024909318,0,0.123116393,0.001379831,596.6666667,2,['No cancellation fee'],1978.021225,230,15,115,352,163,6,266,381,115,Free Hotel Meals
316527,08/09/2022,F,Married,Has children,canada,winnipeg,YWG,washington,YOW,139,696.75,49.91,-97.234,45.323,-73.779,27/04/2023 11:50,28/04/2023 11:00,42,2.2,8,4,4,4,1,0,1,1,5,1,0.166666667,696.75,1,139,0,4,4,0,1822.018149,696.75,696.75,0.030026934,0,0.11356959,0.001803137,699.1166667,0,['Free checked bags'],1823.018149,1009,9,1326,139,1170,4,1663,1048,1009,Free Checked Bags
317688,09/09/2022,F,Unmarried,Has children,usa,indianapolis,IND,tucson,YED,133,500.75,39.717,-86.294,53.667,-87.752,19/07/2023 15:12,20/07/2023 11:00,41,2.1,8,4,4,4,2,0,2,1,4,2,0.333333333,500.75,1,133,0,4,4,0,1555.06375,1001.5,1001.5,0.04316035,0,0.096803081,0.003040714,1003.933333,0,['Free checked bags'],1557.06375,1120,8,1562,133,1333,4,1664,760,760,Exclusive Discount
322867,14/09/2022,F,Unmarried,Has no children,usa,mobile,BFM,austin,AUS,82,173.04,30.626,-88.068,30.194,-97.67,25/01/2023 13:09,02/02/2023 11:00,46,1.3,8,1,1,1,1,0,2,2,1,1,0.333333333,173.04,2,82,0,1,1,7,921.7775,346.08,346.08,0.014914562,0,0.0570285,0.001783604,348.0466667,1,['One night free hotel with flight'],922.7775,1852,9,637,82,2142,8,399,1524,399,One Night Free Hotel
324191,15/09/2022,F,Unmarried,Has no children,usa,san diego,SAN,los angeles,LSQ,86,70.47,32.733,-117.189,33.942,-118.408,28/03/2023 11:13,05/04/2023 11:00,40,1.3,8,2,2,2,1,0,2,1,3,1,0.333333333,70.47,1,86,0,2,2,7,175.7703601,140.94,140.94,0.006073909,0,0.010174298,0.004071399,142.5733333,1,['One night free hotel with flight'],176.7703601,2361,12,318,86,2059,9,302,1798,302,One Night Free Hotel
328590,18/09/2022,F,Unmarried,Has no children,usa,san diego,NZY,new york,LOU,383,1601.03,32.699,-117.215,42.409,-73.779,26/05/2023 21:38,01/06/2023 11:00,56,18.1,8,4,3,4,1,1,2,3,4,1,0.333333333,1601.03,3,383,1,4,3,5,3932.020795,3202.06,3202.06,0.137995038,0,0.246091766,0.00382425,3221.16,2,['No cancellation fee'],3933.020795,99,12,203,384,116,9,133,73,73,Exclusive Discount
330764,20/09/2022,F,Unmarried,Has no children,usa,detroit,DET,ottawa,YOW,375,375.52,42.409,-83.01,45.323,-75.669,14/04/2023 11:00,19/04/2023 11:00,39,17.7,8,2,3,2,2,1,1,2,2,2,0.166666667,375.52,2,375,1,2,3,5,671.4338746,375.52,375.52,0.0161833,0,0.041305258,0.002672031,393.5533333,2,['No cancellation fee'],673.4338746,377,10,273,376,127,7,211,417,127,No Cancellation Fee
330893,20/09/2022,F,Married,Has children,usa,oklahoma city,OKC,new york,LSQ,133,382.9,35.393,-97.601,40.64,-73.779,05/07/2023 09:51,06/07/2023 11:00,43,2.1,8,3,3,3,2,0,0,1,3,2,0,382.9,1,133,0,3,3,1,2159.359844,0,0,0,0,0.134756888,0,2.1,0,['Free checked bags'],2161.359844,872,7,1792,133,1334,4,1665,1855,872,Free Checked Bags
331039,20/09/2022,F,Married,Has children,canada,london,YXU,los angeles,LAX,198,2290.87,43.036,-81.154,33.942,-118.408,15/12/2023 03:12,23/12/2023 11:00,45,10.2,8,2,2,2,6,1,2,3,4,6,0.333333333,2290.87,3,198,1,2,2,8,3365.298015,4581.74,4581.74,0.197453323,0,0.210497813,0.0063973,4592.94,2,['No cancellation fee'],3371.298015,130,14,140,199,395,10,110,32,32,Exclusive Discount
334787,23/09/2022,F,Unmarried,Has no children,usa,minneapolis,MSP,ottawa,YOW,119,329.7,44.88,-93.217,45.323,-71.005,31/03/2023 11:15,04/04/2023 11:00,53,1.8,8,3,3,3,2,0,2,0,3,2,0.333333333,329.7,0,119,0,3,3,3,1738.526031,659.4,659.4,0.028417309,0,0.108325731,0.001789086,661.2,0,['Free checked bags'],1740.526031,1045,9,1327,119,1697,6,935,1114,935,One Night Free Hotel
338086,25/09/2022,F,Unmarried,Has children,usa,washington,IAD,san diego,SAN,137,644.83,38.944,-77.456,32.847,-96.852,12/05/2023 19:31,15/05/2023 11:00,40,2.1,8,2,2,2,1,0,1,1,2,1,0.166666667,644.83,1,137,0,2,2,2,1869.395549,644.83,644.83,0.027789405,0,0.116545205,0.001626165,647.0966667,1,['One night free hotel with flight'],1870.395549,1237,6,1271,137,553,4,1152,1038,553,No Cancellation Fee
343928,30/09/2022,F,Married,Has no children,usa,el paso,BIF,winnipeg,YWG,122,5109.4,31.849,-106.38,50.056,106.662,21/02/2023 13:42,25/02/2023 11:00,65,1.9,8,2,1,2,1,0,2,1,1,1,0.333333333,5109.4,1,122,0,2,1,3,10342.88954,10218.8,10218.8,0.440386407,0,0.648736889,0.004629618,10221.03333,3,['Free hotel meals'],10343.88954,62,5,112,122,102,5,96,54,54,Exclusive Discount
347778,03/10/2022,F,Unmarried,Has no children,usa,las vegas,LSV,san diego,YIP,162,2734.2,36.236,-115.034,42.409,-73.779,26/06/2023 13:33,29/06/2023 11:00,50,2.2,9,5,4,5,5,0,2,0,7,5,0.333333333,2734.2,0,162,0,5,4,2,3578.277838,5468.4,5468.4,0.235664562,0,0.22387436,0.007179096,5470.6,0,['Free checked bags'],3583.277838,329,13,541,162,629,7,663,7,7,Exclusive Discount
348817,04/10/2022,F,Unmarried,Has no children,canada,calgary,YYC,san jose,YHU,125,550.59,51.114,-114.02,45.517,-73.417,26/05/2023 12:46,29/05/2023 11:00,29,1.9,8,3,4,3,2,0,1,0,4,2,0.166666667,550.59,0,125,0,3,4,2,3025.760914,550.59,550.59,0.023728065,0,0.189172628,0.000855429,552.49,0,['Free checked bags'],3027.760914,516,10,1079,125,1550,5,1288,1264,516,Free Checked Bags
349132,04/10/2022,F,Unmarried,Has no children,usa,cincinnati,CVG,new york,YMX,133,494.7,39.046,-84.662,45.517,-73.417,28/03/2023 14:27,02/04/2023 11:00,49,1.8,9,2,3,2,1,0,0,1,5,1,0,494.7,1,133,0,2,3,4,1170.098852,0,0,0,0,0.07262473,0,1.8,1,['One night free hotel with flight'],1171.098852,1667,12,319,133,644,6,648,2090,319,Free Hotel Meals
350648,05/10/2022,F,Unmarried,Has no children,usa,lincoln,LNK,san antonio,SKF,295,212.18,40.851,-96.759,29.529,-98.279,18/06/2023 13:34,22/06/2023 11:00,18,13.5,8,2,2,2,0,1,3,2,2,0,0.5,212.18,2,295,1,2,2,3,1266.442402,636.54,636.54,0.027432141,0,0.078675744,0.002377928,651.04,2,['No cancellation fee'],1266.442402,303,7,373,296,267,5,328,369,267,No Cancellation Fee
